"Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/¿Qué producto obtiene?","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/El producto ${producto_espacio} lo ocupa para:","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/¿Cuánto obtiene de ${producto_espacio} al año?","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Unidad de medida del ${producto_espacio} (Pesca)","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Especifica la unidad de medida","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Unidad de medida del ${producto_espacio} (caza)","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Especifica la unidad de medida","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Unidad de medida del ${producto_espacio} (recolección)","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Especifica la unidad de medida","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Unidad de medida del ${producto_espacio} (compra/venta)","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Especifica la unidad de medida","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Unidad de medida del ${producto_espacio}(cultiva)","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Especifica la unidad de medida","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Unidad de medida del ${producto_espacio}(otro)","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Especifica la unidad de medida","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/¿Cuánto de los productos obtenidos en los espacio de vida, consume la familia? (expresado en porcentaje)","_index","_parent_table_name","_parent_index","_submission__id","_submission__uuid","_submission__submission_time","_submission__validation_status"
"Cebolla","autoconsumo","5","","","","","","","Kilos","","","","","","100","517","group_actividades_espacio","302","44443496","071e1670-61d4-4ed1-99e6-4fb36fd4c8ec","2020-01-09T04:54:50",""
"Chile","autoconsumo","5","","","","","","","Kilos","","","","","","100","518","group_actividades_espacio","302","44443496","071e1670-61d4-4ed1-99e6-4fb36fd4c8ec","2020-01-09T04:54:50",""
"Tomate","autoconsumo","5","","","","","","","Kilos","","","","","","100","519","group_actividades_espacio","302","44443496","071e1670-61d4-4ed1-99e6-4fb36fd4c8ec","2020-01-09T04:54:50",""
"Maiz","ambos","20","","","","","Otra","Costales","","","","","","","10","520","group_actividades_espacio","303","44443496","071e1670-61d4-4ed1-99e6-4fb36fd4c8ec","2020-01-09T04:54:50",""
"Calabaza","ambos","1","","","","","Otra","Costal","","","","","","","10","521","group_actividades_espacio","303","44443496","071e1670-61d4-4ed1-99e6-4fb36fd4c8ec","2020-01-09T04:54:50",""
"Chayote","ambos","60","","","","","Otra","Rejas","","","","","","","10","522","group_actividades_espacio","303","44443496","071e1670-61d4-4ed1-99e6-4fb36fd4c8ec","2020-01-09T04:54:50",""
"Xonacate","ambos","400","","","","","Manojo","","","","","","","","10","523","group_actividades_espacio","303","44443496","071e1670-61d4-4ed1-99e6-4fb36fd4c8ec","2020-01-09T04:54:50",""
"Cilantro","ambos","150","","","","","Manojo","","","","","","","","15","524","group_actividades_espacio","303","44443496","071e1670-61d4-4ed1-99e6-4fb36fd4c8ec","2020-01-09T04:54:50",""
"Maiz","ambos","50","","","","","Otra","Costales","","","","","","","10","525","group_actividades_espacio","304","44443507","e63cf079-c9c7-40bd-89da-f77525c5fd38","2020-01-09T04:55:02",""
"Platano","ambos","80","","","","","Manojo","","","","","","","","10","526","group_actividades_espacio","304","44443507","e63cf079-c9c7-40bd-89da-f77525c5fd38","2020-01-09T04:55:02",""
"Papaya","ambos","200","","","","","Pieza","","","","","","","","5","527","group_actividades_espacio","304","44443507","e63cf079-c9c7-40bd-89da-f77525c5fd38","2020-01-09T04:55:02",""
"Aguacate","ambos","30","","","","","Otra","Cajas","","","","","","","10","528","group_actividades_espacio","304","44443507","e63cf079-c9c7-40bd-89da-f77525c5fd38","2020-01-09T04:55:02",""
"Mango manila","ambos","50","","","","","Otra","Cajas","","","","","","","5","529","group_actividades_espacio","304","44443507","e63cf079-c9c7-40bd-89da-f77525c5fd38","2020-01-09T04:55:02",""
"Mandarina","ambos","60","","","","","Otra","Cajas","","","","","","","5","530","group_actividades_espacio","304","44443507","e63cf079-c9c7-40bd-89da-f77525c5fd38","2020-01-09T04:55:02",""
"Camote","ambos","20","","","","","Otra","Costales","","","","","","","5","531","group_actividades_espacio","304","44443507","e63cf079-c9c7-40bd-89da-f77525c5fd38","2020-01-09T04:55:02",""
"Pollo","autoconsumo","50","","","","","Pieza","","","","","","","","100","532","group_actividades_espacio","305","44443507","e63cf079-c9c7-40bd-89da-f77525c5fd38","2020-01-09T04:55:02",""
"Huevo","autoconsumo","2","","","","","Otra","Cajas","","","","","","","100","533","group_actividades_espacio","305","44443507","e63cf079-c9c7-40bd-89da-f77525c5fd38","2020-01-09T04:55:02",""
"Maiz","autoconsumo","10","","","","","Otra","Costales","","","","","","","100","534","group_actividades_espacio","306","44443521","a4edd2c3-c749-4074-926e-e4b6a6d37981","2020-01-09T04:55:14",""
"Lentejas","autoconsumo","10","","","","","Otra","Cuartillos","","","","","","","100","535","group_actividades_espacio","306","44443521","a4edd2c3-c749-4074-926e-e4b6a6d37981","2020-01-09T04:55:14",""
"Xonacate blanco","ambos","20","","","","","Otra","Rollos","","","","","","","50","536","group_actividades_espacio","306","44443521","a4edd2c3-c749-4074-926e-e4b6a6d37981","2020-01-09T04:55:14",""
"Papaya","autoconsumo","5","","","","","Pieza","","","","","","","","100","537","group_actividades_espacio","306","44443521","a4edd2c3-c749-4074-926e-e4b6a6d37981","2020-01-09T04:55:14",""
"Caña","autoconsumo","10","","","","","Pieza","","","","","","","","100","538","group_actividades_espacio","306","44443521","a4edd2c3-c749-4074-926e-e4b6a6d37981","2020-01-09T04:55:14",""
